"","Distance","Rsquare","Number"
"1",100,0.772496299622352,47
"2",200,0.697645573099304,33
"3",300,0.442695061355834,24
"4",400,0.37677671782097,19
"5",500,0.37636287671841,9
"6",600,0.473562312186645,10
"7",700,0.558760680842787,8
"8",800,0.584239779680364,7
"9",900,0.191475390606561,6
"10",1000,0.432460356546894,8
"11",1100,0.377184678426515,4
"12",1200,0.541345636027463,2
"13",1300,0.493698967014301,2
"14",1400,0.443097857639039,2
"15",1500,0.368778308313592,1
"16",1600,0.575601752920036,5
"17",1700,NA,0
"18",1800,0.544940169829564,3
"19",1900,0.0438514731044012,2
"20",2000,0.528719744612343,4
"21",2100,0.0548601180489697,1
"22",2200,0.354868008559268,6
"23",2300,0.0902346929505035,1
"24",2400,0.170268786875126,5
"25",2500,0.00867220834817828,1
"26",2600,0.636612886000003,2
"27",2700,0.341771580699678,4
"28",2800,0.759357807740128,4
"29",2900,0.214317615517935,2
"30",3000,0.820734984094736,3
"31",3100,NA,0
"32",3200,0.39541319721701,2
"33",3300,0.0810075545374183,2
"34",3400,NA,0
"35",3500,0.231579845747084,1
"36",3600,0.12324308145118,1
"37",3700,0.388568654059677,2
"38",3800,0.00202573817012249,1
"39",3900,0.192759449258716,1
"40",4000,0.538154654987119,2
"41",4100,0.159179456272667,3
"42",4200,0.501407694392627,3
"43",4300,0.985527050913187,1
"44",4400,0.291980049238567,2
"45",4500,NA,0
"46",4600,0.539667491223421,2
"47",4700,0.47605255300322,2
"48",4800,0.120073074063513,1
"49",4900,0.0817764564423013,2
"50",5000,0.217029789394435,1
"51",5100,0.484129964870483,2
"52",5200,0.0257256181047251,2
"53",5300,NA,0
"54",5400,0.12234025911478,2
"55",5500,0.347783642980966,2
"56",5600,0.616554313106154,2
"57",5700,NA,0
"58",5800,0.388758399737466,5
"59",5900,0.286580107214621,2
"60",6000,0.271943227845557,4
"61",6100,0.454031129709101,2
"62",6200,0.446457326892109,1
"63",6300,0.262636170202023,1
"64",6400,NA,0
"65",6500,0.758084539119353,3
"66",6600,0.055702413427806,2
"67",6700,0.913933191258966,2
"68",6800,0.868403088113316,2
"69",6900,0.300451053969247,2
"70",7000,0.985276299709872,1
"71",7100,0.491146252742249,2
"72",7200,NA,0
"73",7300,0.113255484660922,1
"74",7400,0.523227010858869,1
"75",7500,NA,0
"76",7600,NA,0
"77",7700,NA,0
"78",7800,0.417975670230092,2
"79",7900,0.569374584796431,1
"80",8000,0.160160653350984,2
"81",8100,0.301940350002446,2
"82",8200,0.162548916694088,1
"83",8300,NA,0
"84",8400,0.662815941360817,1
"85",8500,NA,0
"86",8600,0.0720569491636013,1
"87",8700,NA,0
"88",8800,NA,0
"89",8900,NA,0
"90",9000,NA,0
"91",9100,0.0149666316539721,1
"92",9200,NA,0
"93",9300,NA,0
"94",9400,0.157451980148838,2
"95",9500,NA,0
"96",9600,1,1
"97",9700,0.0619428475741369,1
