taxa,PC1,PC2,PC3,PC4
2369/LH123HT,-8.70043465345501,2.11059589469112,-0.107114576214648,8.96306163653396
B14A/H95,-5.40132666741419,-0.685527996971269,0.0255696196588823,2.54062354725166
B14A/MO17,-4.96362226584627,-0.637447363637789,-0.114797056336192,2.4503125487617
B14A/OH43,-5.38336864525306,-0.660629903668168,0.0470154105149828,2.53392167974649
B37/H95,-6.76346327415137,-2.17655185959623,2.17806559576602,-11.1298583818363
B37/MO17,-6.46350093244956,-2.11961093352021,2.20951001990045,-10.9492004544923
B37/OH43,-6.79286267379713,-2.17604221393693,2.18116880871506,-11.1666928409544
B73/MO17,-9.74826389155811,2.08496204027427,-1.87242924333824,12.5311955267366
B73/PHK76,-10.3149037746413,1.99615107690173,-1.68160800667533,12.7399154486493
B73/PHM49,-10.3149037746413,1.99615107690173,-1.68160800667533,12.7399154486493
B73/PHN82,-10.3017294205062,2.01420942277841,-1.65259166405269,12.7260785293771
B73/PHZ51,-10.3149037746413,1.99615107690173,-1.68160800667533,12.7399154486493
B73/TX779,-10.0571665969037,1.94794174139959,-1.65752155959373,12.5818806454432
CG108/CGR03,-1.35916634274955,3.31572364147704,-0.251438603196203,-3.91714538774452
CG118/CGR01,-1.42916337556378,0.720553395630053,-0.809414491820834,-1.5341809088612
CG119/CG108,-2.76501984200895,1.44483815606261,-0.309857957235656,-1.21004716220698
CG120/CG123,-2.64076427302057,0.923021678938034,-0.730110012714113,-0.599913610219649
CG120/DK3IIH6,-2.64403795627747,0.971594845028809,-0.681685307937101,-0.607453491894186
CG120/LH162,-2.66330719778371,0.974818658238593,-0.718866271563492,-0.581728956707407
CG120/LH185,-2.6386061767614,0.948880108033823,-0.68466539705589,-0.594952686950939
CG120/LH82,-2.57640550829308,0.963172876259075,-0.74720405345146,-0.607471608656022
CG120/PHK05,-2.6386061767614,0.948880108033823,-0.68466539705589,-0.594952686950939
CG120/PHK56,-2.62298741080691,0.973756319323613,-0.661924570649995,-0.550506366740467
CG120/PHR25,-2.61686272892675,0.982700189480114,-0.720863701242665,-0.589861196624353
CG120/PHW03,-2.64076427302057,0.923021678938034,-0.730110012714113,-0.599913610219649
CG120/PHZ51,-2.6386061767614,0.948880108033823,-0.68466539705589,-0.594952686950939
CG123/LH145,-1.13802042444142,-0.279606059766408,1.34904882184621,-4.3188002202102
CG123/PHB47,-1.1738312490759,-0.277484872902107,1.34989650002205,-4.31927922797097
CG123/PHHV4,-1.12340721024752,-0.24810529766518,1.34087708627228,-4.29835150053072
CG123/PHRE1,-1.04338275590822,-0.321133628596141,1.32643791026181,-4.23493435488765
CG123/S8324,-1.1738312490759,-0.277484872902107,1.34989650002205,-4.31927922797097
CG124/CG120,-1.09792230339982,-1.84194732538171,1.53007197411232,-2.39217474734391
CG124/LH145,-1.09792230339982,-1.84194732538171,1.53007197411232,-2.39217474734391
CG124/PHB47,-1.09792230339982,-1.84194732538171,1.53007197411232,-2.39217474734391
CG124/PHHV4,-1.08561223059998,-1.83407816181729,1.49830536038683,-2.40039724661349
CG124/PHRE1,-0.98798812807714,-1.80380685239195,1.46575312500634,-2.27665085288113
CG124/S8324,-1.09045772039609,-1.80578546550648,1.56881033000476,-2.37406858004438
CG44/CGR01,-0.333153433161128,3.1790202964734,-0.769172862361454,-5.50635247145667
CG60/LH162,-1.94463878496352,2.83619967552562,0.766275097559846,-3.81691071401351
CG60/LH82,-1.8824381164952,2.85049244375087,0.703736441164275,-3.82942963571859
CGR01/LH82,-1.0065139483368,0.450761464058833,-0.19437063375778,-3.03492944510861
DK3IIH6/PHRE1,3.64244383904423,7.4801524734329,-0.837946129122405,-2.14512287674265
DK3IIH6/S8324,3.62385212567793,7.50840156808676,-0.938457227916444,-2.22241950087418
F42/H95,-10.3375379862076,1.96939737649478,-1.61288979405258,12.692045469496
F42/MO17,-9.79534789711653,2.06387481191681,-1.81018606065694,12.5099670244697
F42/OH43,-10.2714590666121,2.000043446498,-1.62405829509782,12.6776001104821
LH132/TX779,-8.9853118020333,0.852239029457519,-2.23720042391306,8.02957818572087
LH145/DK3IIH6,-6.24600340437217,-0.259020795927687,-0.431851345880789,1.01838646350735
LH145/LH162,-6.27070442539447,-0.233082245722916,-0.466052220388392,1.03161019375088
LH145/LH185,-6.20174049722279,-0.260101630217564,-0.434647932604518,1.04552747184888
LH145/LH82,-6.17233606041535,-0.223052511734489,-0.415838891825977,1.01780672777585
LH145/PHK05,-6.24600340437217,-0.259020795927687,-0.431851345880789,1.01838646350735
LH145/PHR25,-6.24600340437217,-0.259020795927687,-0.431851345880789,1.01838646350735
LH145/PHZ51,-6.24600340437217,-0.259020795927687,-0.431851345880789,1.01838646350735
LH162/PHB47,-2.12997805412627,0.280042116423262,0.244518209105956,-2.82183273598322
LH185/PHB47,-0.922487601855696,-0.355062112292463,0.0154519990053083,-3.83086108773469
LH185/PHRE1,-0.878999971108273,-0.334611713198822,0.0360062823520074,-3.67655134574887
LH185/S8324,-0.935644605429051,-0.364765275587114,0.0509017142652099,-3.82084870974313
LH195/MO17,-7.93602025134944,1.98962436058321,-1.9150712528902,7.00396623595179
LH195/PHK76,-8.3951646280072,1.93656884510385,-1.80779991164022,7.10120426358325
LH195/PHN11,-8.27216855557442,1.9064024417526,-1.78381839708175,7.12848258109174
LH195/PHN82,-8.38199027387211,1.95462719098053,-1.77878356901757,7.08736734431113
LH195/PHZ51,-8.3951646280072,1.93656884510385,-1.80779991164022,7.10120426358325
LH244/MO17,-8.5966461901665,1.15825176086443,-1.63066145898923,7.60108287629877
LH244/PHK76,-9.12204615289327,1.08016824516341,-1.47012855973845,7.70910656587049
LH244/PHN82,-9.10887179875819,1.09822659104009,-1.44111221711581,7.69526964659837
LH244/PHZ51,-9.12204615289327,1.08016824516341,-1.47012855973845,7.70910656587049
LH74/PHN82,-8.25382973282778,0.723971053061606,-1.38135918563166,8.13609388418409
LH82/PHB47,0.163336480763097,2.59424108667476,-0.763277968110846,-0.961097543887458
LH82/PHHV4,0.217465383044422,2.56861406373645,-0.838735428015243,-0.977525274638825
LH82/PHRE1,0.206886805725572,2.57463877908535,-0.740150824670536,-0.809705984080445
LH82/S8324,0.161178384503928,2.56838265757897,-0.808722583769069,-0.966058467156168
LH82/TX779,0.302792907928304,2.65718309803905,-0.769542568950932,-0.999414701367687
MO44/LH195,0.535418346861514,-4.63736403768496,12.7918011811513,1.48347498198255
MO44/PHT69,0.535418346861514,-4.63736403768496,12.7918011811513,1.48347498198255
MO44_PHW65_0001/LH195,8.44891262213531,-3.87389301621109,8.54418220140759,0.776881308011778
MO44_PHW65_0001/PHT69,8.44891262213531,-3.87389301621109,8.54418220140759,0.776881308011778
MO44_PHW65_0009/LH195,8.29497820146457,-3.07079504287377,7.5436266893609,1.85596991946224
MO44_PHW65_0009/PHT69,8.29497820146457,-3.07079504287377,7.5436266893609,1.85596991946224
MO44_PHW65_0010/PHT69,5.80659843785006,-3.16537096435799,7.75374559343347,1.47243229404229
MO44_PHW65_0012/LH195,8.45039340223186,0.28237154831517,3.38676738257318,0.73578032064316
MO44_PHW65_0012/PHT69,8.45039340223186,0.28237154831517,3.38676738257318,0.73578032064316
MO44_PHW65_0015/LH195,10.3783866425521,-2.90623993183901,3.96371496156398,1.41481094797709
MO44_PHW65_0015/PHT69,10.3783866425521,-2.90623993183901,3.96371496156398,1.41481094797709
MO44_PHW65_0017/LH195,9.36804190551593,-3.53417114883101,6.14000063056353,1.63921856257469
MO44_PHW65_0017/PHT69,9.36804190551593,-3.53417114883101,6.14000063056353,1.63921856257469
MO44_PHW65_0020/LH195,10.4535548247979,-2.67332877574866,3.883994168751,0.442379562852119
MO44_PHW65_0020/PHT69,10.4535548247979,-2.67332877574866,3.883994168751,0.442379562852119
MO44_PHW65_0023/LH195,8.57058783145241,-2.51080974594146,7.19422456452003,1.5999167286255
MO44_PHW65_0023/PHT69,8.57058783145241,-2.51080974594146,7.19422456452003,1.5999167286255
MO44_PHW65_0024/LH195,9.14878753571158,-3.12619503885258,7.14620678056414,0.529504827862463
MO44_PHW65_0024/PHT69,9.14878753571158,-3.12619503885258,7.14620678056414,0.529504827862463
MO44_PHW65_0025/LH195,9.46453828072788,-3.67442142004342,6.72368073570212,0.612475931763892
MO44_PHW65_0025/PHT69,9.46453828072788,-3.67442142004342,6.72368073570212,0.612475931763892
